name,rrn,time,department,location,doctor
안미교,760904-2424260,2025-06-17 20:40,피부과,3층 B-2,권하재 전문의
안선미,771114-1531074,2025-06-27 02:50,소아과,3층 D-2,정승문 전문의
홍석혜,680910-2093473,2025-06-12 05:30,호흡기내과,2층 A-1,윤승선 전문의
김다현,660210-1335738,2025-06-20 17:20,가정의학과,2층 D-2,정교윤 전문의
장기진,830503-1131949,2025-06-12 16:40,피부과,3층 B-4,송다호 전문의
최다주,010615-2463270,2025-06-16 20:20,호흡기내과,2층 D-2,권상은 전문의
강미찬,931207-1079983,2025-06-14 06:10,내과,2층 B-1,오제승 전문의
윤범상,941212-2390459,2025-06-30 05:40,소아과,4층 D-1,황주수 전문의
홍하민,910211-1869737,2025-06-18 14:50,호흡기내과,3층 B-3,홍욱현 전문의
조석찬,970414-2521791,2025-06-23 06:50,소아과,4층 A-3,강훈제 전문의
조연희,700129-1458131,2025-06-19 20:20,이비인후과,3층 C-1,서선범 전문의
김승열,620724-1605634,2025-06-13 02:10,감염내과,3층 D-3,홍제희 전문의
조기열,770201-2159108,2025-06-27 04:50,감염내과,4층 D-3,황욱한 전문의
신범예,971112-2153234,2025-06-18 12:30,비뇨의학과,4층 A-3,강연찬 전문의
이승은,710505-2460948,2025-06-28 03:30,호흡기내과,2층 C-1,박태철 전문의
김주석,791102-1013430,2025-06-19 23:10,가정의학과,2층 C-1,김미예 전문의
박혜교,640704-1177324,2025-06-23 08:40,피부과,4층 B-2,이다주 전문의
안승문,880721-1661694,2025-06-23 01:00,이비인후과,3층 C-4,김열예 전문의
오우영,740704-2196283,2025-06-20 07:00,산부인과,4층 D-3,정연슬 전문의
안예호,991011-2910011,2025-06-11 03:00,이비인후과,3층 A-3,최영하 전문의
안철경,820905-2523248,2025-06-22 14:40,정형외과,2층 A-3,류태한 전문의
박주연,620404-2024114,2025-06-14 22:00,이비인후과,3층 B-2,임선찬 전문의
박용경,901129-1014232,2025-06-25 13:00,정형외과,2층 D-1,이하다 전문의
임호다,020504-2101710,2025-06-27 07:50,소아과,4층 B-3,조교태 전문의
신범한,821006-2177484,2025-06-24 13:50,소아과,2층 B-4,임진서 전문의
이연욱,931015-1628610,2025-06-14 16:00,치과,2층 A-3,장용영 전문의
서예지,611228-2634296,2025-06-24 12:10,치과,4층 B-4,임지범 전문의
안현열,980222-2273184,2025-06-11 07:40,산부인과,3층 B-3,강주다 전문의
오영영,680724-1638376,2025-06-23 10:20,감염내과,4층 D-3,송한재 전문의
김현진,831015-1640206,2025-06-13 22:10,정형외과,2층 C-4,신진지 전문의
황석상,771018-2009319,2025-06-22 17:10,산부인과,4층 C-3,이진선 전문의
안석서,931208-2543510,2025-06-27 12:10,치과,4층 C-4,장다석 전문의
오승하,810318-1430607,2025-06-26 23:20,호흡기내과,3층 C-2,홍훈은 전문의
류승다,640520-2413550,2025-06-21 21:00,소화기내과,4층 D-1,임우영 전문의
윤욱욱,840825-1195154,2025-06-28 14:20,피부과,2층 C-4,오호하 전문의
윤미문,000219-2817432,2025-06-21 05:40,정형외과,4층 D-3,류민영 전문의
권승주,030329-2396464,2025-06-28 17:10,산부인과,4층 B-3,송승윤 전문의
서기석,790222-2249129,2025-06-25 06:40,이비인후과,3층 C-3,임민경 전문의
송범범,610918-2558318,2025-06-27 16:30,소화기내과,3층 A-2,장연교 전문의
황경교,691001-2596759,2025-06-13 06:40,소화기내과,3층 B-4,최연슬 전문의
류철석,820809-2533536,2025-06-15 18:40,감염내과,2층 B-2,최석진 전문의
한미재,690911-2133798,2025-06-20 07:40,정형외과,2층 B-3,강태용 전문의
박호지,790810-1624014,2025-06-17 17:10,호흡기내과,2층 D-3,류희한 전문의
박제찬,690709-2036966,2025-06-25 04:00,피부과,3층 A-4,오연진 전문의
안기승,610707-2719235,2025-06-12 20:30,소화기내과,2층 B-3,신태다 전문의
권주슬,611221-1874676,2025-06-14 16:00,내과,4층 D-1,홍미욱 전문의
신예찬,600304-1099404,2025-06-15 23:10,정형외과,2층 C-4,서윤희 전문의
장호다,950318-2702436,2025-06-14 16:40,내과,2층 B-2,정제교 전문의
황문용,691211-1525667,2025-06-21 17:00,감염내과,2층 D-2,서슬호 전문의
강희기,910905-2156593,2025-06-25 21:40,피부과,4층 A-4,홍훈연 전문의
류미태,760626-2021728,2025-06-15 21:00,치과,4층 A-1,오슬희 전문의
서기열,040105-2399343,2025-06-30 07:50,피부과,3층 B-3,황용하 전문의
안다제,990415-2230346,2025-06-12 07:40,가정의학과,3층 D-2,황윤욱 전문의
최지경,751001-1267818,2025-06-16 02:50,가정의학과,3층 D-3,한연현 전문의
권제다,801122-2711116,2025-06-17 13:10,소아과,3층 D-4,윤재서 전문의
홍승서,690526-2589628,2025-06-15 16:00,치과,2층 B-1,권윤호 전문의
